x;y
0;0
0.01;0.00992781
0.02;0.01943
0.03;0.0281176
0.04;0.0356721
0.05;0.0418726
0.06;0.046615
0.07;0.0499212
0.08;0.0519371
0.09;0.05292
0.1;0.0532165
0.11;0.0532326
0.12;0.0533987
0.13;0.0541326
0.14;0.0558032
0.15;0.0586988
0.16;0.0630021
0.17;0.0687744
0.18;0.0759502
0.19;0.0843428
0.2;0.09366
0.21;0.10353
0.22;0.113532
0.23;0.123234
0.24;0.132229
0.25;0.140172
0.26;0.146807
0.27;0.15199
0.28;0.155704
0.29;0.158058
0.3;0.159279
0.31;0.159692
0.32;0.159692
0.33;0.15971
0.34;0.160178
0.35;0.161487
0.36;0.163959
0.37;0.167813
0.38;0.173153
0.39;0.17995
0.4;0.188053
0.41;0.197195
0.42;0.207022
0.43;0.217116
0.44;0.227039
0.45;0.236363
0.46;0.244714
0.47;0.2518
0.48;0.257437
0.49;0.261567
0.5;0.264262
0.51;0.265716
0.52;0.266233
0.53;0.266199
0.54;0.266048
0.55;0.266225
0.56;0.267147
0.57;0.26917
0.58;0.272554
0.59;0.277444
0.6;0.283853
0.61;0.291664
0.62;0.300638
0.63;0.310435
0.64;0.320643
0.65;0.330813
0.66;0.340497
0.67;0.349288
0.68;0.356856
0.69;0.362973
0.7;0.367538
0.71;0.370583
0.72;0.372271
0.73;0.372884
0.74;0.372798
0.75;0.37245
0.76;0.372301
0.77;0.372799
0.78;0.374335
0.79;0.377214
0.8;0.381624
0.81;0.387623
0.82;0.395132
0.83;0.403939
0.84;0.413721
0.85;0.424069
0.86;0.434522
0.87;0.444607
0.88;0.453885
0.89;0.461979
0.9;0.468617
0.91;0.47365
0.92;0.477068
0.93;0.478998
0.94;0.479701
0.95;0.47954
0.96;0.47896
0.97;0.478441
0.98;0.478461
0.99;0.479454
1;0.481773
1.01;0.485658
1.02;0.491212
1.03;0.498398
1.04;0.507036
1.05;0.516818
1.06;0.527338
1.07;0.53812
1.08;0.548666
1.09;0.558495
1.1;0.567182
1.11;0.574403
1.12;0.579955
1.13;0.58378
1.14;0.585969
1.15;0.586755
1.16;0.586495
1.17;0.585636
1.18;0.584684
1.19;0.584152
1.2;0.584524
1.21;0.586207
1.22;0.589497
1.23;0.594553
1.24;0.601384
1.25;0.609843
1.26;0.619642
1.27;0.630374
1.28;0.641551
1.29;0.652639
1.3;0.66311
1.31;0.672485
1.32;0.680376
1.33;0.686522
1.34;0.690808
1.35;0.693283
1.36;0.694151
1.37;0.693757
1.38;0.692558
1.39;0.691086
1.4;0.6899
1.41;0.689538
1.42;0.690473
1.43;0.693069
1.44;0.697547
1.45;0.703972
1.46;0.712234
1.47;0.72207
1.48;0.733072
1.49;0.74473
1.5;0.756474
1.51;0.767719
1.52;0.777917
1.53;0.786609
1.54;0.793459
1.55;0.798288
1.56;0.801092
1.57;0.802042
1.58;0.801469
1.59;0.799844
1.6;0.79773
1.61;0.795739
1.62;0.794481
1.63;0.794506
1.64;0.796259
1.65;0.800041
1.66;0.805981
1.67;0.814019
1.68;0.823916
1.69;0.835266
1.7;0.847534
1.71;0.8601
1.72;0.87231
1.73;0.883534
1.74;0.893218
1.75;0.900937
1.76;0.906433
1.77;0.909635
1.78;0.91067
1.79;0.909858
1.8;0.907679
1.81;0.904741
1.82;0.901724
1.83;0.899324
1.84;0.898192
1.85;0.898878
1.86;0.901782
1.87;0.907114
1.88;0.91488
1.89;0.924873
1.9;0.936688
1.91;0.949758
1.92;0.9634
1.93;0.97687
1.94;0.989429
1.95;1.0004
1.96;1.00925
1.97;1.01561
1.98;1.01932
1.99;1.02045
2;1.01931
2.01;1.01638
2.02;1.01233
2.03;1.00794
2.04;1.00401
2.05;1.00133
2.06;1.00059
2.07;1.00231
2.08;1.00684
2.09;1.01425
2.1;1.02439
2.11;1.03686
2.12;1.05104
2.13;1.06617
2.14;1.08138
2.15;1.09579
2.16;1.10855
2.17;1.11897
2.18;1.12651
2.19;1.13092
2.2;1.13217
2.21;1.13053
2.22;1.12653
2.23;1.1209
2.24;1.11453
2.25;1.10841
2.26;1.1035
2.27;1.1007
2.28;1.10074
2.29;1.10411
2.3;1.11102
