x;y
0;0.280063
0.01;0.141461
0.02;0.281032
0.03;0.296142
0.04;0.343872
0.05;0.11583
0.06;0.171705
0.07;0.326019
0.08;0.172506
0.09;0.274535
0.1;0.258966
0.11;0.319402
0.12;0.241307
0.13;0.300768
0.14;0.456953
0.15;0.454836
0.16;0.371222
0.17;0.408281
0.18;0.22623
0.19;0.391182
0.2;0.204103
0.21;0.289422
0.22;0.263973
0.23;0.496036
0.24;0.289929
0.25;0.381052
0.26;0.300344
0.27;0.303001
0.28;0.60933
0.29;0.358705
0.3;0.466498
0.31;0.584763
0.32;0.51878
0.33;0.42272
0.34;0.546005
0.35;0.51766
0.36;0.516802
0.37;0.685874
0.38;0.468426
0.39;0.637308
0.4;0.565
0.41;0.655247
0.42;0.54117
0.43;0.714047
0.44;0.520378
0.45;0.552452
0.46;0.71319
0.47;0.759228
0.48;0.485031
0.49;0.787068
0.5;0.654757
0.51;0.516863
0.52;0.560951
0.53;0.726609
0.54;0.81088
0.55;0.638985
0.56;0.552577
0.57;0.546306
0.58;0.700591
0.59;0.577393
0.6;0.644069
0.61;0.896412
0.62;0.881771
0.63;0.872785
0.64;0.686084
0.65;0.785107
0.66;0.738186
0.67;0.874402
0.68;0.799638
0.69;0.859112
0.7;0.82142
0.71;0.664927
0.72;0.805264
0.73;0.977481
0.74;0.984558
0.75;0.921956
0.76;0.783686
0.77;0.942313
0.78;0.916606
0.79;0.828369
0.8;0.946643
0.81;0.779612
0.82;0.877847
0.83;1.03129
0.84;1.02104
0.85;0.861393
0.86;0.834165
0.87;1.06212
0.88;0.887526
0.89;1.00596
0.9;1.10215
0.91;0.985717
0.92;1.0147
0.93;1.08785
0.94;0.954078
0.95;1.12141
0.96;0.952004
0.97;1.09647
0.98;1.05857
0.99;1.13968
1;1.0023
1.01;0.918773
1.02;1.16886
1.03;1.16401
1.04;0.911624
1.05;1.16111
1.06;1.08605
1.07;1.02118
1.08;1.08849
1.09;0.980313
1.1;1.15321
1.11;0.998185
1.12;1.04911
1.13;0.979781
1.14;0.971145
1.15;1.00484
1.16;1.10228
1.17;1.05958
1.18;0.981142
1.19;1.23064
1.2;0.966429
1.21;0.977641
1.22;1.10425
1.23;1.19598
1.24;1.27403
1.25;1.26065
1.26;1.18024
1.27;1.08283
1.28;1.20794
1.29;1.08372
1.3;1.06161
1.31;1.04361
1.32;1.16354
1.33;1.05262
1.34;1.02428
1.35;1.21977
1.36;1.01969
1.37;1.2444
1.38;1.03655
1.39;1.23206
1.4;1.01029
1.41;1.3038
1.42;1.00616
1.43;1.16396
1.44;1.0502
1.45;1.07273
1.46;1.2598
1.47;1.23914
1.48;1.21474
1.49;1.31921
1.5;1.21065
1.51;1.2514
1.52;1.02987
1.53;1.04414
1.54;1.17293
1.55;1.02586
1.56;1.02324
1.57;1.06822
1.58;1.15376
1.59;1.27304
1.6;1.19068
1.61;1.25109
1.62;1.0161
1.63;1.05085
1.64;1.33094
1.65;1.06497
1.66;1.29268
1.67;1.03691
1.68;1.32664
1.69;1.01092
1.7;1.28184
1.71;1.01444
1.72;0.990277
1.73;1.29504
1.74;1.18368
1.75;1.04411
1.76;1.03653
1.77;1.11079
1.78;1.28254
1.79;1.2493
1.8;1.09355
1.81;1.15569
1.82;1.16225
1.83;1.11745
1.84;1.19311
1.85;0.994489
1.86;1.13541
1.87;1.208
1.88;1.05401
1.89;1.28023
1.9;1.13862
1.91;1.23556
1.92;1.18892
1.93;1.14581
1.94;0.944422
1.95;1.17823
1.96;1.20296
1.97;1.22983
1.98;1.20853
1.99;1.19043
2;1.23578
2.01;1.15303
2.02;1.20192
2.03;1.22427
2.04;1.11422
2.05;1.05312
2.06;0.937363
2.07;1.15463
2.08;1.16945
2.09;0.893879
2.1;1.07978
2.11;0.940799
2.12;1.06277
2.13;0.924057
2.14;1.07587
2.15;0.942521
2.16;0.940976
2.17;0.902928
2.18;0.844824
2.19;1.02536
2.2;0.883049
2.21;1.01962
2.22;0.966794
2.23;1.1143
2.24;0.877663
2.25;0.960109
2.26;1.01151
2.27;0.803115
2.28;0.916042
2.29;0.949844
2.3;1.06048
2.31;0.889311
2.32;0.844348
2.33;1.00795
2.34;0.863303
2.35;0.712551
2.36;0.819392
2.37;0.896772
2.38;0.967823
2.39;0.760767
2.4;0.900622
2.41;0.829039
